Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Expo	Body_Site	Indice
Year	2851.65196547663	1	1.90048737517698	0.169744235037591	0.0105057062186653	0.95	0	0.0587250950186838	Low	Mouth	observed_otus
Year:Gender	318.386240168125	1	0.212188947738036	0.645616249239422	0.001184009575375	0.95	0	0.0307647683680221	Low	Mouth	observed_otus
(Intercept)	226748.713591727	1	169.53180584344	1.4318019078977e-24	NA	NA	NA	NA	Medium	Mouth	observed_otus
Age_num	293.670097195514	1	0.219566502103369	0.640234891235885	0.00185727717162169	0.95	0	0.0462974566938582	Medium	Mouth	observed_otus
Age_num:Gender	415.559683821804	1	0.31069893415532	0.578307447656108	0.00262612711237753	0.95	0	0.0502413302231315	Medium	Mouth	observed_otus
Age_num:Year	68.0740550360642	1	0.0508965069681911	0.821900835691305	0.000431140368046141	0.95	0	0.0327420382536176	Medium	Mouth	observed_otus
Gender	912.11416398178	1	0.681954745876242	0.410580936459399	0.00574606937791389	0.95	0	0.0616418794846054	Medium	Mouth	observed_otus
Residuals	157824.94659753	118	NA	NA	NA	NA	NA	NA	Medium	Mouth	observed_otus
Year	228.245101958921	1	0.170650601262894	0.680283946284406	0.00144410308646528	0.95	0	0.0436889725892852	Medium	Mouth	observed_otus
Year:Gender	2.433037257666	1	0.00181909389227749	0.96605195685068	1.54158122836231e-05	0.95	0	0.00516207165672566	Medium	Mouth	observed_otus
(Intercept)	13265.8180088192	1	131.243418574902	8.61241279177463e-23	NA	NA	NA	NA	Low	Nose	faith_pd
Age_num	1474.36240058167	1	14.5863874765957	0.00018847003865637	0.0803275381998318	0.95	0.0192708733893202	0.168432213740493	Low	Nose	faith_pd
Age_num:Gender	424.27228560713	1	4.19747543141697	0.0420491569839711	0.0245183255234304	0.95	0	0.088149570576576	Low	Nose	faith_pd
Age_num:Year	41.4586844076766	1	0.410165394072508	0.52276334290362	0.00245006265364475	0.95	0	0.0386192579633201	Low	Nose	faith_pd
Gender	134.666041808268	1	1.33229867024545	0.250045789973247	0.00791469421358852	0.95	0	0.0549532379024729	Low	Nose	faith_pd
Residuals	16880.0205871538	167	NA	NA	NA	NA	NA	NA	Low	Nose	faith_pd
