"Index"	"Variable"	"Body_Site"	"Expo"	"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"	"Omega2_partial"	"p.adj"
"uu"	"Age_grp2"	"Feces"	"Medium"	3	2.20429153529262	0.110977980061928	5.0515299018123	0.001	0.0892705103201639	0.00204545454545455
"uu"	"Age_grp2"	"Mouth"	"Low"	3	1.69621996320267	0.0713713254131894	4.88978997918739	0.001	0.0570157124200954	0.00204545454545455
"uu"	"Age_grp2"	"Mouth"	"Medium"	3	1.08472820248557	0.0649494957435366	3.06513772462641	0.001	0.0435697118183647	0.00204545454545455
"uu"	"Age_grp2"	"Nose"	"Low"	3	4.59458106062834	0.0979418586140793	6.43582206689404	0.001	0.0826500208770393	0.00204545454545455
"uu"	"Age_grp2"	"Nose"	"Medium"	3	3.30428982342242	0.105242340824936	4.24749844777123	0.001	0.0806882060505072	0.00204545454545455
"uu"	"Age_grp2"	"Right_Arm"	"Low"	3	0.739588281636788	0.0245520206154358	1.14617417472153	0.033	0.00314491659999197	0.0479032258064516
"uu"	"Age_grp2"	"Right_Arm"	"Medium"	3	1.00430795548775	0.0355957608110794	1.48318188956167	0.001	0.0117420089384154	0.00204545454545455
"uu"	"Age_grp2"	"Right_Hand"	"Low"	3	0.879239009856455	0.0245460712531289	1.35763822640218	0.002	0.00653925531404301	0.00382978723404255
"uu"	"Age_grp2"	"Right_Hand"	"Medium"	3	1.12994468894696	0.0359785062832921	1.67752170333777	0.001	0.0147252578287835	0.00204545454545455
"uu"	"Gender"	"Feces"	"Low"	1	0.293147879304772	0.00926952175007794	2.06246865349599	0.01	0.00489475983612829	0.0166666666666667
"uu"	"Gender"	"Feces"	"Medium"	1	0.173789299675686	0.0087496527231478	1.19480816834449	0.192	0.00156856934051888	0.224415584415584
"uu"	"Gender"	"Mouth"	"Low"	1	0.139569923184037	0.00587264070790305	1.20703852080484	0.235	0.00107158891513438	0.267721518987342
"uu"	"Gender"	"Mouth"	"Medium"	1	0.092615127760638	0.00554544984862849	0.785113140747355	0.65	-0.00158255094599291	0.664772727272727
"uu"	"Gender"	"Nose"	"Low"	1	0.221433222015698	0.00472025219208028	0.930512356482734	0.478	-0.000384057075903022	0.500232558139535
"uu"	"Gender"	"Nose"	"Medium"	1	0.265783776291112	0.00846527038030704	1.02495504713627	0.354	0.000224769711689391	0.383855421686747
"uu"	"Gender"	"Right_Arm"	"Low"	1	0.301814875231269	0.0100193110446853	1.40320942391609	0.012	0.00289239699417504	0.0189473684210526
"uu"	"Gender"	"Right_Arm"	"Medium"	1	0.253289559822814	0.00897736051788793	1.12218912304184	0.134	0.00100054808973926	0.165205479452055
"uu"	"Gender"	"Right_Hand"	"Low"	1	0.338830200548358	0.00945925982825736	1.56956923214451	0.007	0.00348212222370139	0.0123529411764706
"uu"	"Gender"	"Right_Hand"	"Medium"	1	0.257752275357593	0.00820707592964427	1.14798106551572	0.13	0.0010869134037655	0.1625
"uu"	"Year"	"Feces"	"Low"	1	0.438229047127933	0.0138570802337105	3.08320044782962	0.002	0.00955231968144182	0.00382978723404255
"uu"	"Year"	"Feces"	"Medium"	1	0.359399590386001	0.0180944489136406	2.47088610802967	0.005	0.0117229275543909	0.00918367346938776
"uu"	"Year"	"Mouth"	"Low"	1	0.219232452363762	0.00922457643361442	1.89598166264404	0.038	0.00462093982021217	0.0542857142857143
"uu"	"Year"	"Mouth"	"Medium"	1	0.199747537302427	0.0119601406085673	1.69329158378281	0.068	0.00507187716200304	0.0913432835820896
"uu"	"Year"	"Nose"	"Low"	1	0.390281631191691	0.0083195633807408	1.64005146574781	0.052	0.00352373532479706	0.072
"uu"	"Year"	"Nose"	"Medium"	1	0.605106746589446	0.0192727798901354	2.33350290460826	0.009	0.0118709278187528	0.0152830188679245
"uu"	"Year"	"Right_Arm"	"Low"	1	0.48664159056348	0.0161549806297644	2.26251295740457	0.001	0.00900107185294742	0.00204545454545455
"uu"	"Year"	"Right_Arm"	"Medium"	1	0.75334575676014	0.0267008891238466	3.33766782459307	0.001	0.0188009624556485	0.00204545454545455
"uu"	"Year"	"Right_Hand"	"Low"	1	0.702602833874685	0.0196148476462093	3.25467974425692	0.001	0.0136436665378928	0.00204545454545455
"uu"	"Year"	"Right_Hand"	"Medium"	1	0.823919862383118	0.0262343867232174	3.66958701026371	0.001	0.0192514239626756	0.00204545454545455
"wu"	"Age_grp2"	"Feces"	"Low"	3	1.04449162989149	0.0402206753287229	3.05163067372567	0.001	0.027705408443539	0.00204545454545455
"wu"	"Age_grp2"	"Feces"	"Medium"	3	1.47101986937587	0.0884139288482362	3.88159465145528	0.001	0.0651724379704212	0.00204545454545455
"wu"	"Age_grp2"	"Mouth"	"Low"	3	0.70241332361593	0.0471481948724848	3.1835800795413	0.001	0.0328274414356494	0.00204545454545455
"wu"	"Age_grp2"	"Mouth"	"Medium"	3	1.05174710125845	0.103910730470837	5.11226161428979	0.001	0.0831674008300606	0.00204545454545455
