"Index"	"Age_grp2"	"Variable"	"Body_Site"	"Year"	"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"	"Omega2_partial"	"p.disp"
"bc"	"Age_3-8"	"Gender"	"Feces"	"2015"	1	0.218574569045968	0.0229051063805626	0.834727535576038	0.726	-0.00448686539799533	NA
"bc"	"Age_3-8"	"Gender"	"Feces"	"2016"	1	0.225512934745746	0.0228352944820324	0.925488831017435	0.559	-0.0018206543430727	NA
"bc"	"Age_3-8"	"Gender"	"Mouth"	"2015"	1	0.156948679999997	0.0289266038710342	1.04394530658356	0.38	0.00125400568340977	NA
"bc"	"Age_3-8"	"Gender"	"Mouth"	"2016"	1	0.127069688364641	0.0210370103150226	0.763465837426326	0.6	-0.00661384899463917	NA
"bc"	"Age_3-8"	"Gender"	"Nose"	"2015"	1	0.26686391147368	0.034273710106456	1.03113971942033	0.369	0.0010369143399575	NA
"bc"	"Age_3-8"	"Gender"	"Nose"	"2016"	1	0.114531958218622	0.0127975967316061	0.39596874469264	0.941	-0.0192391341773606	NA
"bc"	"Age_3-8"	"Gender"	"Right_Arm"	"2015"	1	0.299899684323528	0.0330902518352512	1.31446065075601	0.088	0.00890458596737142	NA
"bc"	"Age_3-8"	"Gender"	"Right_Arm"	"2016"	1	0.241547912569442	0.0477385983566655	1.012346217071	0.397	0.0005875696575458	NA
"bc"	"Age_3-8"	"Gender"	"Right_Hand"	"2015"	1	0.353123214137928	0.0374497473820283	1.37631526010063	0.079	0.0109469341682878	NA
"bc"	"Age_3-8"	"Gender"	"Right_Hand"	"2016"	1	0.284582980347638	0.0301344500423847	0.964144851792469	0.51	-0.00112173025037208	NA
"bc"	"Age_8-18"	"Expo"	"Feces"	"2015"	1	0.549426326939519	0.0579224154225511	2.09800441020657	0.007	0.0295973982337574	0.856
"bc"	"Age_8-18"	"Expo"	"Feces"	"2016"	1	0.576615352061257	0.0499649278859218	2.26714981749101	0.003	0.027387678352557	0.739
"bc"	"Age_8-18"	"Expo"	"Mouth"	"2015"	1	0.689537790068334	0.110638671794995	4.79366844669215	0.001	0.0866259571588525	0.065
"bc"	"Age_8-18"	"Expo"	"Mouth"	"2016"	1	0.256426202166661	0.0428069417451705	1.49499553022111	0.133	0.0139455019736419	0.526
"bc"	"Age_8-18"	"Expo"	"Nose"	"2015"	1	0.436812695222784	0.0463643168916531	1.40324112610756	0.148	0.0128407486503779	0.614
"bc"	"Age_8-18"	"Expo"	"Nose"	"2016"	1	0.479674641917665	0.0517391481574996	1.72293155071994	0.072	0.0214373874831326	0.944
"bc"	"Age_8-18"	"Expo"	"Right_Arm"	"2015"	1	1.32432857852944	0.134385892815998	5.82088014981366	0.001	0.110013311766723	0.001
"bc"	"Age_8-18"	"Expo"	"Right_Arm"	"2016"	1	0.509823347762317	0.0915990981413673	1.86619282615821	0.001	0.0415117809642942	0.285
"bc"	"Age_8-18"	"Expo"	"Right_Hand"	"2015"	1	1.17225581680542	0.113055362550991	4.73143679536664	0.001	0.0873229892370771	0.549
"bc"	"Age_8-18"	"Expo"	"Right_Hand"	"2016"	1	0.715818066344363	0.0764472548486868	2.51000098367386	0.001	0.0450612038003083	0.523
"bc"	"Age_8-18"	"Gender"	"Feces"	"2015"	1	0.29532447981452	0.0311341236586728	1.12770726613002	0.256	0.00353488432546469	NA
"bc"	"Age_8-18"	"Gender"	"Feces"	"2016"	1	0.281542866594592	0.024396279037503	1.10697687172924	0.301	0.00237162583592	NA
"bc"	"Age_8-18"	"Gender"	"Mouth"	"2015"	1	0.221674584815807	0.0355684372749131	1.54108226984892	0.095	0.0133465176446789	NA
