Factor	Coefficient	Sum Sq	Df	F value	p_value	Omega2_partial	CI	CI_low	CI_high	Body_Site	Indice	Expo
Residuals	NA	1762007.41400218	109	NA	NA	NA	NA	NA	NA	Right_Arm	observed_otus	Medium
U1.Age_num	-57.83703168969	46160.281308285	1	2.85553319618259	NA	0.0161553661765096	0.95	0	0.0909711935272869	Right_Arm	observed_otus	Medium
(Intercept)	0.786804573824979	81.4573974932395	1	19830.2118248872	9.69075418770262e-146	NA	NA	NA	NA	Right_Arm	pielou_e	Low
GenderC	-0.0186199337434851	0.0114049411862143	1	2.7764501019294	0.0980312715589937	0.0130836393247562	0.95	0	0.0756484599703981	Right_Arm	pielou_e	Low
Residuals	NA	0.542221967372696	132	NA	NA	NA	NA	NA	NA	Right_Arm	pielou_e	Low
(Intercept)	0.677407845202536	0.46172837756202	1	144.222533822959	1.29194046793507e-21	NA	NA	NA	NA	Right_Arm	pielou_e	Medium
Age_num	0.0613488572995561	0.0101443284434194	1	3.16861779162738	0.0778781889072866	0.0188299367762755	0.95	0	0.0969801663296592	Right_Arm	pielou_e	Medium
Residuals	NA	0.345761951720472	108	NA	NA	NA	NA	NA	NA	Right_Arm	pielou_e	Medium
U1.Age_num	-0.0622897638418031	0.0104580206428962	1	3.26660068816913	NA	0.019663984837212	0.95	0	0.0986573431514963	Right_Arm	pielou_e	Medium
YearC	0.0197130462376561	0.00993337876977612	1	3.10272689576649	0.0809912117727756	0.0182682630766051	0.95	0	0.0958362921697463	Right_Arm	pielou_e	Medium
(Intercept)	6.51803120434385	5590.229650202	1	8757.85977286588	1.49570369539316e-122	NA	NA	NA	NA	Right_Arm	shannon	Low
GenderC	-0.244397227454419	1.96484970972307	1	3.07820596098213	0.0816684808347743	0.0152721440314845	0.95	0	0.0803337251903678	Right_Arm	shannon	Low
Residuals	NA	84.2569226916491	132	NA	NA	NA	NA	NA	NA	Right_Arm	shannon	Low
(Intercept)	5.11555270187828	27.0298725034044	1	56.4537127741239	1.76875190565294e-11	NA	NA	NA	NA	Right_Arm	shannon	Medium
Age_num	0.879008661769294	2.10512007984379	1	4.39668534609529	0.0383437301047846	0.0291819765828859	0.95	0	0.116420032224318	Right_Arm	shannon	Medium
GenderC	-0.196470225783962	1.04329771034976	1	2.17899767268855	0.142815309375574	0.0103258716289342	0.95	0	0.0780498595497477	Right_Arm	shannon	Medium
Residuals	NA	51.7100840125033	108	NA	NA	NA	NA	NA	NA	Right_Arm	shannon	Medium
U1.Age_num	-0.89222305572732	2.16847635946313	1	4.52900921153775	NA	0.0302843835660823	0.95	0	0.118347357794698	Right_Arm	shannon	Medium
(Intercept)	38.9110287263672	230604.226919805	1	2046.6935359966	7.67410284722556e-91	NA	NA	NA	NA	Right_Hand	faith_pd	Low
GenderC	-4.57748582035656	797.840102738839	1	7.08111123046464	0.00861581682847409	0.03751893841484	0.95	0.00118584957638166	0.112811981734529	Right_Hand	faith_pd	Low
Residuals	NA	17351.4257611399	154	NA	NA	NA	NA	NA	NA	Right_Hand	faith_pd	Low
(Intercept)	62.5014942757626	208821.698521271	1	873.092478498557	3.56073460616586e-57	NA	NA	NA	NA	Right_Hand	faith_pd	Medium
Age_num	-0.289432778713604	2126.88779264173	1	8.89260908955178	0.00346312870732604	0.059390880678949	0.95	0.00479268375013475	0.157112584246534	Right_Hand	faith_pd	Medium
GenderC	-6.72551595985184	1307.67401007096	1	5.46744112611797	0.0210150231924805	0.0345062904407457	0.95	0	0.119514727090647	Right_Hand	faith_pd	Medium
Residuals	NA	28940.1479720977	121	NA	NA	NA	NA	NA	NA	Right_Hand	faith_pd	Medium
YearC	-5.7321072240436	997.76969526109	1	4.17171789318398	0.0432769715455176	0.0247458483456329	0.95	0	0.10267712844986	Right_Hand	faith_pd	Medium
(Intercept)	284.732828282828	12348008.5641414	1	1353.23657307895	3.54558710927778e-78	NA	NA	NA	NA	Right_Hand	observed_otus	Low
GenderC	-30.1101010101009	34521.2308080806	1	3.78323288605872	0.0535901665334676	0.0175285062249359	0.95	0	0.0785633965733132	Right_Hand	observed_otus	Low
Residuals	NA	1405218.68585859	154	NA	NA	NA	NA	NA	NA	Right_Hand	observed_otus	Low
(Intercept)	475.655055296449	12337622.745459	1	656.491277643331	6.24748136292844e-51	NA	NA	NA	NA	Right_Hand	observed_otus	Medium
Age_num	-2.54876379592414	165232.777396032	1	8.7921214142491	0.0036399429220214	0.0586790942961242	0.95	0.00467846887031228	0.155656624141697	Right_Hand	observed_otus	Medium
GenderC	-56.9423018687327	93984.6109140054	1	5.00096968197995	0.0271505748389997	0.0310150357151838	0.95	0	0.113269231177218	Right_Hand	observed_otus	Medium
Residuals	NA	2292779.85284027	122	NA	NA	NA	NA	NA	NA	Right_Hand	observed_otus	Medium
(Intercept)	0.827723708080968	33.6929554810805	1	6101.55407480286	9.60607220472712e-105	NA	NA	NA	NA	Right_Hand	pielou_e	Medium
Age_num	-0.00254456504365835	0.116107673281115	1	21.0262720176647	1.1199560679337e-05	0.138087201298434	0.95	0.043616665775852	0.255242118181277	Right_Hand	pielou_e	Medium
GenderC	-0.0223366430618306	0.0141978664527109	1	2.57113241243232	0.111458689771633	0.0124130390752354	0.95	0	0.0782437496820595	Right_Hand	pielou_e	Medium
Residuals	NA	0.662643419719311	120	NA	NA	NA	NA	NA	NA	Right_Hand	pielou_e	Medium
U1.Age_num	0.0308171988606123	0.00820202689084382	1	1.48532860602188	NA	0.00386761234491116	0.95	0	0.0547027371013964	Right_Hand	pielou_e	Medium
(Intercept)	6.13350966356909	5679.64644589092	1	8092.55896540409	4.98433801024884e-135	NA	NA	NA	NA	Right_Hand	shannon	Low
Residuals	NA	108.082691322537	154	NA	NA	NA	NA	NA	NA	Right_Hand	shannon	Low
YearC	-0.218466001093532	1.80140316484493	1	2.56670225353902	0.111184233945126	0.00994310492719495	0.95	0	0.0625823603982745	Right_Hand	shannon	Low
(Intercept)	7.34414306064576	2652.47057684813	1	3562.32812186544	4.4879168503434e-91	NA	NA	NA	NA	Right_Hand	shannon	Medium
Age_num	-0.0317502829075249	18.0771102835086	1	24.2779689573509	2.69896418153146e-06	0.15698872274172	0.95	0.0560446535170973	0.276214725141085	Right_Hand	shannon	Medium
GenderC	-0.365771999934966	3.80722191887132	1	5.11318535487541	0.0255458175172831	0.0318572060906876	0.95	0	0.115526881478133	Right_Hand	shannon	Medium
Residuals	NA	89.3506881828441	120	NA	NA	NA	NA	NA	NA	Right_Hand	shannon	Medium
U1.Age_num	0.456959299765177	1.80339104027456	1	2.42199505380529	NA	0.0112480035867184	0.95	0	0.0755256737996335	Right_Hand	shannon	Medium
