Factor	Coefficient	Sum Sq	Df	F value	p_value	Omega2_partial	CI	CI_low	CI_high	Body_Site	Indice	Year
(Intercept)	47.6664211441443	188555.904938688	1	819.088247801264	4.08710209026171e-44	NA	NA	NA	NA	Right_Arm	faith_pd	2016
ExpoC	8.41291428004472	1468.41219456363	1	6.37879345060142	0.0134988052974126	0.0608606798146419	0.95	7.89740227399978e-05	0.184133877777099	Right_Arm	faith_pd	2016
Residuals	NA	18646.3770430502	81	NA	NA	NA	NA	NA	NA	Right_Arm	faith_pd	2016
(Intercept)	373.618559017376	22188294.4128443	1	1866.47027093106	1.7998492288803e-90	NA	NA	NA	NA	Right_Arm	observed_otus	2015
ExpoC	103.26758163571	428686.769538729	1	36.0609561058615	1.22910228524004e-08	0.176131757787881	0.95	0.0821742419404092	0.28039435016518	Right_Arm	observed_otus	2015
GenderC	-42.1666978729778	71907.5027344867	1	6.04882978446149	0.0149732379090427	0.0298661031306681	0.95	0	0.0986561665543646	Right_Arm	observed_otus	2015
Residuals	NA	1913941.7627509	161	NA	NA	NA	NA	NA	NA	Right_Arm	observed_otus	2015
(Intercept)	359.102206736353	10701661.107874	1	551.731781229027	6.60063272395471e-38	NA	NA	NA	NA	Right_Arm	observed_otus	2016
ExpoC	55.0336817653891	62836.5295607517	1	3.23958215751155	0.0756023173957897	0.0262739692150661	0.95	0	0.127922438650105	Right_Arm	observed_otus	2016
Residuals	NA	1571115.85598142	81	NA	NA	NA	NA	NA	NA	Right_Arm	observed_otus	2016
(Intercept)	0.794698385154618	102.325778334862	1	26810.5586574569	7.30847600770313e-182	NA	NA	NA	NA	Right_Arm	pielou_e	2015
GenderC	-0.0268867420411118	0.0292817322601162	1	7.67215860096052	0.00626305983969362	0.039093421303473	0.95	0.00197728469516581	0.11300968570173	Right_Arm	pielou_e	2015
Residuals	NA	0.6182928264211	162	NA	NA	NA	NA	NA	NA	Right_Arm	pielou_e	2015
(Intercept)	0.816415875574463	24.7367450254485	1	6904.25662014146	2.04300849360709e-79	NA	NA	NA	NA	Right_Arm	pielou_e	2016
Age_num	-0.000880037412324368	0.0151271439700663	1	4.2221271954623	0.043164215014617	0.0373700730922337	0.95	0	0.148534379511821	Right_Arm	pielou_e	2016
ExpoC	0.0462833731241772	0.044137639954139	1	12.3192276323048	0.000739387455850118	0.120009757463577	0.95	0.0196955672113706	0.261243805046734	Right_Arm	pielou_e	2016
Residuals	NA	0.28662602086122	80	NA	NA	NA	NA	NA	NA	Right_Arm	pielou_e	2016
(Intercept)	6.75624424721426	7255.67331728175	1	12251.3573472515	7.84995280528712e-154	NA	NA	NA	NA	Right_Arm	shannon	2015
ExpoC	0.422350995277363	7.17065967064181	1	12.1078100127956	0.000646123112271492	0.0634341210251209	0.95	0.0104571314537979	0.148079989676424	Right_Arm	shannon	2015
GenderC	-0.364388300242735	5.36987121896045	1	9.06714075115668	0.00302257228247049	0.0468836799166865	0.95	0.00419088324931996	0.124906877852654	Right_Arm	shannon	2015
Residuals	NA	95.3497127683106	161	NA	NA	NA	NA	NA	NA	Right_Arm	shannon	2015
(Intercept)	6.87352461107384	1753.39052058341	1	3076.25465680598	1.29179384949082e-65	NA	NA	NA	NA	Right_Arm	shannon	2016
Age_num	-0.00887323251211323	1.53786563793972	1	2.6981247330343	0.104391568930157	0.020049142036931	0.95	0	0.116332679680725	Right_Arm	shannon	2016
