Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Age_num	3.37113559435442e-05	1	0.00667500184868256	0.934979179662279	3.85823370607593e-05	0.95	0	0.0109535052808627	2016	Feces	pielou_e
Expo	0.0477477230000249	1	9.45426638516994	0.00244870855503727	0.0518171845059053	0.95	0.00674107716344687	0.128783781209266	2016	Feces	pielou_e
Gender	0.000369111581819292	1	0.0730857724957736	0.78721800943364	0.000422282714666824	0.95	0	0.0247375455280268	2016	Feces	pielou_e
Residuals	0.873717297828798	173	NA	NA	NA	NA	NA	NA	2016	Feces	pielou_e
(Intercept)	1951.22925379556	1	2954.50482262136	1.35269070972487e-100	NA	NA	NA	NA	2015	Feces	shannon
Age_num	0.445889377419235	1	0.675155066160562	0.412564175773886	0.00448086524858133	0.95	0	0.0489886634215932	2015	Feces	shannon
Expo	5.77324392066062	1	8.74170832185997	0.00361383819589037	0.0550687554913768	0.95	0.00613928891000657	0.139931575308178	2015	Feces	shannon
Gender	2.58327148105126	1	3.9115280964857	0.0497882636367497	0.0254141333327131	0.95	0	0.0940949155768782	2015	Feces	shannon
Residuals	99.0637706286267	150	NA	NA	NA	NA	NA	NA	2015	Feces	shannon
(Intercept)	1901.80529608571	1	3580.28334231248	1.5733400296921e-117	NA	NA	NA	NA	2016	Feces	shannon
Age_num	0.107164467615249	1	0.201744710186867	0.653878403557781	0.00116479606209764	0.95	0	0.0314243592876278	2016	Feces	shannon
Expo	7.24400432866366	1	13.6373518797821	0.000297054214206984	0.0730687171802901	0.95	0.0162330994156652	0.157451582173074	2016	Feces	shannon
Gender	0.184502542262777	1	0.347339120380677	0.556392112771616	0.00200371763502795	0.95	0	0.0392997859357305	2016	Feces	shannon
Residuals	91.8956084660946	173	NA	NA	NA	NA	NA	NA	2016	Feces	shannon
(Intercept)	2606056.037413	1	424.329214203131	1.40498482401342e-45	NA	NA	NA	NA	2015	Feces	observed_otus
Age_num	29693.9758172552	1	4.8349004181854	0.0294207922429658	0.0312261667435899	0.95	0	0.103923530450016	2015	Feces	observed_otus
Expo	98024.3514533079	1	15.9607450598968	0.000101030423964422	0.0961718089065966	0.95	0.025405541312355	0.193553439696281	2015	Feces	observed_otus
Gender	33786.5417162782	1	5.50126953959955	0.0203121582382626	0.0353776503297204	0.95	0.000500056604093867	0.110624957784027	2015	Feces	observed_otus
Residuals	921238.492489978	150	NA	NA	NA	NA	NA	NA	2015	Feces	observed_otus
(Intercept)	2341088.09681804	1	671.524985134477	1.86394886600885e-61	NA	NA	NA	NA	2016	Feces	observed_otus
Age_num	1778.76588175294	1	0.510226733425958	0.476003394098033	0.00294061475817129	0.95	0	0.0395338108064397	2016	Feces	observed_otus
Expo	34186.4499159143	1	9.8061475357496	0.0020425481601081	0.0536423291444939	0.95	0.00744762947240897	0.131346906941129	2016	Feces	observed_otus
Gender	3172.56402655283	1	0.910028124812879	0.341437970953264	0.00523275244461328	0.95	0	0.0467914375314028	2016	Feces	observed_otus
Residuals	603117.15828178	173	NA	NA	NA	NA	NA	NA	2016	Feces	observed_otus
(Intercept)	8006.49710192094	1	435.310829139878	1.64546912145688e-47	NA	NA	NA	NA	2015	Mouth	faith_pd
Age_num	217.308370157255	1	11.8149904493807	0.000748912044478086	0.0687657719415442	0.95	0.0127299022741313	0.155502566130931	2015	Mouth	faith_pd
Expo	219.028572174521	1	11.9085173134877	0.000714724691355879	0.0692724101143378	0.95	0.0129633177067722	0.156172559276656	2015	Mouth	faith_pd
Gender	0.0624524885993196	1	0.00339552294192375	0.953605386510511	2.12215680225167e-05	0.95	0	0.00767886449809815	2015	Mouth	faith_pd
