Factors	Sum Sq	Df	F value	p_value	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice	q_value
Gender	0.00512639555384681	1	1.04093337309499	0.310309265836931	0.0113094612901793	0.95	0	0.0890437423903897	2016	Feces	pielou_e	0.66338043758909
Residuals	0.448157401287862	91	NA	NA	NA	NA	NA	NA	2016	Feces	pielou_e	NA
(Intercept)	607.981775207735	1	906.613969791608	1.8815570044205e-47	NA	NA	NA	NA	2015	Feces	shannon	5.85373290264154e-46
Age_num	2.15434295513396	1	3.21252626064199	0.0765931254360849	0.0360098115735039	0.95	0	0.141485382866941	2015	Feces	shannon	0.297862154473664
Age_num:Expo	7.93899226891881e-06	1	1.18385148874077e-05	0.997262681381207	1.3765713090409e-07	0.95	0	0	2015	Feces	shannon	0.997262681381207
Age_num:Gender	0.814526461219266	1	1.21461053376804	0.273495701443246	0.0139266864385958	0.95	0	0.0985058789015782	2015	Feces	shannon	0.638156636700908
Expo	0.622645408280903	1	0.928480175546689	0.337959826357021	0.0106809663952675	0.95	0	0.0904888021156698	2015	Feces	shannon	0.668512183380422
Expo:Gender	0.0291745877067342	1	0.0435047395438757	0.835270981332681	0.000505613290341506	0.95	0	0.0425971206259984	2015	Feces	shannon	0.926514717497762
Gender	0.0798459037667314	1	0.119065101516934	0.730893186430949	0.00138256379556119	0.95	0	0.0543646053767199	2015	Feces	shannon	0.885418479672613
Residuals	57.6722115586678	86	NA	NA	NA	NA	NA	NA	2015	Feces	shannon	NA
(Intercept)	505.372795875168	1	1041.05429259688	1.33180044362667e-51	NA	NA	NA	NA	2016	Feces	shannon	4.66130155269334e-50
Age_num	0.173986977019524	1	0.358408467492721	0.550878806278414	0.00392310323160073	0.95	0	0.0664263578922759	2016	Feces	shannon	0.79508281318534
Age_num:Expo	0.116049291063334	1	0.239058401244357	0.626063356921033	0.00262013227046956	0.95	0	0.0603815884065941	2016	Feces	shannon	0.820349186508367
Age_num:Gender	0.481593696753414	1	0.992069991469395	0.321878140286973	0.0107842990331818	0.95	0	0.0877114874056955	2016	Feces	shannon	0.66338043758909
Expo	0.657180616451605	1	1.35377429761257	0.247661129918251	0.0146585703498159	0.95	0	0.0970488293062048	2016	Feces	shannon	0.597802727388881
Expo:Gender	0.20579131828098	1	0.423924550399631	0.516626019223706	0.00463691044203569	0.95	0	0.0692314506553577	2016	Feces	shannon	0.794809260344164
Gender	0.256996424597837	1	0.529405684661577	0.468724754004991	0.00578399565365357	0.95	0	0.0732926966696821	2016	Feces	shannon	0.763396911570628
Residuals	44.1753372054422	91	NA	NA	NA	NA	NA	NA	2016	Feces	shannon	NA
(Intercept)	552484.139238642	1	88.9503261299067	6.51269609011433e-15	NA	NA	NA	NA	2015	Feces	observed_otus	6.07851635077337e-14
Age_num	71582.9014515354	1	11.5248963313474	0.00104090361655295	0.118173889590108	0.95	0.0210891528156456	0.253909471279247	2015	Feces	observed_otus	0.00677797703801924
Age_num:Expo	4457.14680197218	1	0.717603698434944	0.399282338052186	0.00827517906203277	0.95	0	0.0838968399884012	2015	Feces	observed_otus	0.693579579549383
Age_num:Gender	2266.81326373038	1	0.364958493400877	0.547355607411424	0.0042257704949718	0.95	0	0.0703257747422291	2015	Feces	observed_otus	0.79508281318534
Expo	3865.83883376955	1	0.622402709158911	0.432325356685146	0.00718523949570729	0.95	0	0.0806418643640139	2015	Feces	observed_otus	0.724856885460125
Expo:Gender	2268.36437453376	1	0.365208223306273	0.54721886814911	0.00422864983271955	0.95	0	0.0703374064931694	2015	Feces	observed_otus	0.79508281318534
Gender	8470.91566598392	1	1.36382324413252	0.246103475583206	0.0156108466123489	0.95	0	0.102384705573865	2015	Feces	observed_otus	0.597802727388881
Residuals	534159.210446652	86	NA	NA	NA	NA	NA	NA	2015	Feces	observed_otus	NA
(Intercept)	552517.185140662	1	189.329656179788	5.91120992805744e-24	NA	NA	NA	NA	2016	Feces	observed_otus	6.62055511942434e-23
Age_num	22.0800349210622	1	0.00756610931292238	0.930875834837863	8.31371460240395e-05	0.95	0	0.0219181426348043	2016	Feces	observed_otus	0.967587610190413
Age_num:Expo	122.944518032193	1	0.0421290847673794	0.837832346456621	0.00046274274548384	0.95	0	0.0400110917384773	2016	Feces	observed_otus	0.926514717497762
