Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Urban:Gender	0.00740989793350708	1	1.68883092664132	0.199836113065231	0.0333176144678786	0.95	0	0.179103610377916	2016	Feces	pielou_e
(Intercept)	261.218567796334	1	423.455437332355	2.34312015207295e-26	NA	NA	NA	NA	2015	Feces	shannon
Age_num	3.95228942422521	1	6.40696586279506	0.0144932481428429	0.111606070212942	0.95	0.00421942664300317	0.287807385741279	2015	Feces	shannon
Age_num:Gender	0.599460165230262	1	0.971771143882939	0.328892684157424	0.0186980570893497	0.95	0	0.145718330993995	2015	Feces	shannon
Age_num:Urban	0.588917689132259	1	0.954680977344217	0.333142770087857	0.0183752639682365	0.95	0	0.144968774429632	2015	Feces	shannon
Gender	0.312520658094648	1	0.506620080897335	0.479848993291143	0.00983601875063103	0.95	0	0.122367653583389	2015	Feces	shannon
Residuals	31.4605641659454	51	NA	NA	NA	NA	NA	NA	2015	Feces	shannon
Urban	0.917364943781138	1	1.48711929913454	0.228273855868289	0.0283330333040218	0.95	0	0.166133925531062	2015	Feces	shannon
Urban:Gender	0.00116069156040766	1	0.00188157050422085	0.965570342079467	3.68921782154213e-05	0.95	0	0.0124029512591224	2015	Feces	shannon
(Intercept)	191.672736476969	1	433.077604181036	5.62836311673054e-26	NA	NA	NA	NA	2016	Feces	shannon
Age_num	0.639389155350294	1	1.44467663282782	0.23516085113633	0.0286388322665482	0.95	0	0.170186150571273	2016	Feces	shannon
Age_num:Gender	0.162052837800921	1	0.36615251618737	0.547901284785966	0.00741707622580688	0.95	0	0.117297923897892	2016	Feces	shannon
Age_num:Urban	0.519421245015405	1	1.17361348560405	0.283962126722805	0.0233910496787477	0.95	0	0.159479960311246	2016	Feces	shannon
Gender	0.0768674977877097	1	0.173679326508141	0.678682434568845	0.00353195711378293	0.95	0	0.0994323253301599	2016	Feces	shannon
Residuals	21.6865614769713	49	NA	NA	NA	NA	NA	NA	2016	Feces	shannon
Urban	0.00994694322846712	1	0.0224747578684824	0.881446405947051	0.000458458247558688	0.95	0	0.060165245211839	2016	Feces	shannon
Urban:Gender	0.379420210767137	1	0.857286220654752	0.359037166164605	0.0171948031198617	0.95	0	0.145492751840957	2016	Feces	shannon
(Intercept)	179380.763257367	1	36.0230686324147	2.03693901596464e-07	NA	NA	NA	NA	2015	Feces	observed_otus
Age_num	52448.8337813931	1	10.5327232680266	0.00207387019386345	0.171172714429487	0.95	0.0262497062416746	0.3542277559437	2015	Feces	observed_otus
Age_num:Gender	152.013730221021	1	0.0305272479466736	0.861991053478412	0.000598215413263281	0.95	0	0.06340261625725	2015	Feces	observed_otus
Age_num:Urban	1246.04549891702	1	0.250229632829684	0.619065182166756	0.00488250754430557	0.95	0	0.103884532347882	2015	Feces	observed_otus
Gender	2889.09376899881	1	0.580184972102082	0.449747952246109	0.0112482142593301	0.95	0	0.126607538733733	2015	Feces	observed_otus
Residuals	253960.011554754	51	NA	NA	NA	NA	NA	NA	2015	Feces	observed_otus
Urban	5212.61368434469	1	1.04679195860039	0.311075823094243	0.0201125164339244	0.95	0	0.148941945676611	2015	Feces	observed_otus
Urban:Gender	1491.30076785796	1	0.299481554970548	0.586594519344177	0.00583790607415077	0.95	0	0.108133828784438	2015	Feces	observed_otus
(Intercept)	165864.087114502	1	55.9110800233021	1.21280327746777e-09	NA	NA	NA	NA	2016	Feces	observed_otus
Age_num	1064.52105220425	1	0.358839112020636	0.551911280384279	0.00727000712488892	0.95	0	0.116753071553876	2016	Feces	observed_otus
Age_num:Gender	0.420891036104877	1	0.000141878044910981	0.990544782015169	2.89546192058173e-06	0.95	0	0	2016	Feces	observed_otus
Age_num:Urban	1004.03344411659	1	0.33844936065829	0.563392706868302	0.0068597486350709	0.95	0	0.112004363399537	2016	Feces	observed_otus
