gene_by_taxon	geneID	taxon	term	Estimate	Std.Error	t.value	p.value	fdr
K00973 msi	K00973	msi	MediumUrban	-2.1243774977285907	0.6744302652015011	-3.149884587539804	0.002254781719110207	0.009240336098453362
K00981 sutt	K00981	sutt	MediumUrban	1.840250282466234	0.6697860390129977	2.747519618620361	0.007330473307998265	0.021132065892640845
K00982 sutt	K00982	sutt	MediumUrban	2.0174656287329378	0.5818828105900314	3.4671339177165583	8.2760540246725e-4	0.004818245383038212
K00989 sutt	K00989	sutt	MediumUrban	1.891774516952361	0.6645976226196194	2.8464960640328876	0.005539786493948381	0.017242132865478557
K00990 sutt	K00990	sutt	MediumUrban	2.058440684496986	0.6838577238958841	3.0100423122666657	0.0034378182919544554	0.012612396537971585
K01000 msi	K01000	msi	MediumUrban	-1.88607833686916	0.6319740935494509	-2.9844235010902036	0.003708909550005648	0.013180468117258877
K01001 msi	K01001	msi	MediumUrban	-2.887355141580786	0.6234930814484186	-4.6309337304485485	1.2980061394944453e-5	5.323496581131001e-4
K01007 msi	K01007	msi	MediumUrban	-2.8882496208574064	0.698068313492593	-4.1374885022453505	8.223444606588795e-5	0.0013692322802998545
K01007 sutt	K01007	sutt	MediumUrban	1.7763126479453302	0.6139708836979184	2.8931545373075034	0.004843516772982208	0.015733169763261442
K01023 sutt	K01023	sutt	MediumUrban	2.2322505083406092	0.5794224669575168	3.8525439306175158	2.261095125251563e-4	0.0022447847494178478
K01042 msi	K01042	msi	MediumUrban	-2.592605418939412	0.6206959974360221	-4.17693271690002	7.125579499021006e-5	0.001290298067515118
K01081 sutt	K01081	sutt	MediumUrban	2.2310728993807882	0.6934700544843692	3.21725918077271	0.001831981765541025	0.008033054482050056
K01092 sutt	K01092	sutt	MediumUrban	1.5776435281622168	0.6581042400481392	2.397254769315595	0.01870958121846336	0.04375983583611127
K01095 sutt	K01095	sutt	MediumUrban	2.1809816130871496	0.618412255323986	3.526743841686213	6.809062313493725e-4	0.00427767212887297
K01141 sutt	K01141	sutt	MediumUrban	1.8508840299446936	0.6776528972141883	2.731315748156062	0.007669581106972896	0.021922296057265863
K01142 msi	K01142	msi	MediumUrban	-3.005299110244062	0.5792920519922505	-5.187882519548646	1.4240837581312569e-6	1.8837463489502902e-4
K01142 sutt	K01142	sutt	MediumUrban	2.7670547425941194	0.6353532845819455	4.355143523677235	3.694154424184404e-5	8.995685188133225e-4
K01147 sutt	K01147	sutt	MediumUrban	1.8445874519570546	0.6220735358890184	2.9652241182723134	0.0039248921456633374	0.013583093312244776
K01251 msi	K01251	msi	MediumUrban	-1.946759519894989	0.7118705596031811	-2.7347099744933594	0.007597385452548725	0.02174203697418091
K01251 sutt	K01251	sutt	MediumUrban	1.5252779906506069	0.6082794917908454	2.5075282189113617	0.014059623620444528	0.03493149280942903
K01256 sutt	K01256	sutt	MediumUrban	2.278661704177486	0.6325599486190349	3.602285774102703	5.301605144210925e-4	0.003630019206259168
K01262 sutt	K01262	sutt	MediumUrban	1.8875820051918513	0.5575452826336665	3.385522331523485	0.001077327122048876	0.005707751738878871
K01265 msi	K01265	msi	MediumUrban	-2.1625612183862657	0.6284881877561111	-3.4408939746461256	9.012268004859479e-4	0.005109097647516767
K01265 sutt	K01265	sutt	MediumUrban	1.9216377734489045	0.6417673996773248	2.99429010326029	0.003602243345533796	0.012995365766236314
K01271 msi	K01271	msi	MediumUrban	-1.6870918867881852	0.6295677514564084	-2.6797622382743667	0.00884581908002228	0.02451908641389179
K01295 sutt	K01295	sutt	MediumUrban	2.5614706822056705	0.6500928486948457	3.9401612974949485	1.6642512264714807e-4	0.0019153645495807877
K01414 sutt	K01414	sutt	MediumUrban	2.093474187313868	0.688963078892432	3.0385869017528626	0.0031574515347304838	0.011710719610905192
K01421 msi	K01421	msi	MediumUrban	-2.3281294105718864	0.6517267383668162	-3.572247804971181	5.85860609408291e-4	0.0038640834099754593
K01423 sutt	K01423	sutt	MediumUrban	1.685705426727314	0.6129871602435469	2.749984887216175	0.007280098030114425	0.02106186319526421
K01424 sutt	K01424	sutt	MediumUrban	1.329080612202069	0.5257820160437912	2.5278167979244333	0.013327116883915968	0.033543197992181736
K01442 mol	K01442	mol	MediumUrban	-1.3140791377711938	0.5566525490894498	-2.3606810746141598	0.020530028950746917	0.046949302148376525
K01448 sutt	K01448	sutt	MediumUrban	2.2027956198711074	0.5847483948323278	3.767082798923702	3.036714573497186e-4	0.0026008695681643164
K01480 msi	K01480	msi	MediumUrban	-2.22088975459644	0.6548225392107565	-3.391590273103963	0.0010565554219255965	0.0056531650777636964
K01486 msi	K01486	msi	MediumUrban	-1.9126287046891752	0.6780403317897509	-2.8208184897211246	0.005961086016803826	0.018185262179079956
K01496 msi	K01496	msi	MediumUrban	-1.927107643288167	0.6333538540211874	-3.042702955153566	0.0031188194061774572	0.011683333607800618
K01515 sutt	K01515	sutt	MediumUrban	2.268590947416289	0.5393778888901583	4.205939832061371	6.409725497281788e-5	0.0012509472466416343
K01520 msi	K01520	msi	MediumUrban	-1.7151088345579915	0.6172062283081373	-2.7788261943813883	0.006713792511288352	0.019784084120516788
K01520 sutt	K01520	sutt	MediumUrban	2.2173067106313447	0.5828578193581466	3.8041982744146456	2.6729475848183534e-4	0.002390682641627269
K01524 msi	K01524	msi	MediumUrban	-1.7237244616481886	0.6085938440742131	-2.8323067649004914	0.005769088142546286	0.01779300371425221
K01524 sutt	K01524	sutt	MediumUrban	2.2620819144385766	0.6346598431232537	3.564243017655791	6.016143433758227e-4	0.003935285031807236
K01525 sutt	K01525	sutt	MediumUrban	2.377807999454593	0.6640108773002112	3.580977482059444	5.691260531667187e-4	0.003768048308757594
K01534 meb	K01534	meb	MediumUrban	1.314652576077569	0.4459676790611973	2.9478651431534963	0.004130118696944124	0.014068401455542147
K01534 msi	K01534	msi	MediumUrban	-2.0001114769517176	0.7565086935818116	-2.6438711067309346	0.00975911728534028	0.02611536788982991
K01534 sutt	K01534	sutt	MediumUrban	1.8899832931134168	0.6621729450864628	2.8542140042683766	0.005418606808566777	0.016975924751575652
K01537 msi	K01537	msi	MediumUrban	-3.0306166937377768	0.6571012160246059	-4.612100266794045	1.3956180190900614e-5	5.538277505755726e-4
K01547 sutt	K01547	sutt	MediumUrban	1.6920208216976096	0.547290623611681	3.0916312991653747	0.0026919830523779316	0.010490362762212529
K01551 msi	K01551	msi	MediumUrban	-2.1347109049112905	0.6930336350002809	-3.0802414155705806	0.0027861936251477575	0.010734509743489985
K01588 mmil	K01588	mmil	MediumUrban	-0.7341138343389418	0.29279487816105587	-2.507263238174311	0.014069425285276119	0.03493149280942903
