Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Age_num:Gender	3946.43962883437	1	0.645405583342188	0.423057223238579	0.00437132182198431	0.95	0	0.0492993279939872	2015	Feces	observed_otus
Expo	64750.1990156536	1	10.5893270637878	0.00141144491033535	0.0671957121785384	0.95	0.0105808791150797	0.157574020123433	2015	Feces	observed_otus
Expo:Gender	14677.9477069803	1	2.40044959331806	0.123450630315404	0.0160672180027055	0.95	0	0.0775186579006241	2015	Feces	observed_otus
Gender	21106.3119821746	1	3.45175218126448	0.0651850723875368	0.0229425854549424	0.95	0	0.0905698341868457	2015	Feces	observed_otus
Residuals	898855.913880551	147	NA	NA	NA	NA	NA	NA	2015	Feces	observed_otus
(Intercept)	1879181.63379163	1	550.139076258108	3.56072394061773e-55	NA	NA	NA	NA	2016	Feces	observed_otus
Age_num	5215.89196684991	1	1.52697639062977	0.218271640819915	0.0089022521282733	0.95	0	0.0567518883504794	2016	Feces	observed_otus
Age_num:Expo	7481.00006085553	1	2.19009721517013	0.14075133462367	0.0127190660240662	0.95	0	0.0652203147211656	2016	Feces	observed_otus
Age_num:Gender	3492.67348961532	1	1.02249624660881	0.313364677320193	0.00597872367115028	0.95	0	0.0493915419596637	2016	Feces	observed_otus
Expo	36897.0904879621	1	10.8017931383795	0.001231884879885	0.05974383854762	0.95	0.00970959632319226	0.14055325692879	2016	Feces	observed_otus
Expo:Gender	9655.28238228546	1	2.82662837656846	0.0945490686677343	0.016355282765857	0.95	0	0.0725575976229921	2016	Feces	observed_otus
Gender	10070.79822431	1	2.94827255262439	0.0877906084803201	0.0170471350138943	0.95	0	0.073894248657422	2016	Feces	observed_otus
Residuals	580691.122538433	170	NA	NA	NA	NA	NA	NA	2016	Feces	observed_otus
(Intercept)	7949.66817967181	1	427.313229429721	1.16596153841433e-46	NA	NA	NA	NA	2015	Mouth	faith_pd
Age_num	144.572788039759	1	7.77112497637335	0.0059648237468615	0.0471631481395035	0.95	0.00401733269969013	0.126456906307512	2015	Mouth	faith_pd
Age_num:Expo	18.0420484074261	1	0.969802235295673	0.326244702621873	0.00613916217892806	0.95	0	0.0523656320651695	2015	Mouth	faith_pd
Age_num:Gender	0.872868697019385	1	0.0469187308654264	0.828795582548566	0.000298756137621725	0.95	0	0.0242917746931275	2015	Mouth	faith_pd
Expo	42.8384940950773	1	2.30266909787286	0.131162911502207	0.0144546799555389	0.95	0	0.0716956164304119	2015	Mouth	faith_pd
Expo:Gender	0.549174564343957	1	0.0295194153147866	0.863806472262395	0.000187986408063271	0.95	0	0.0213438172289732	2015	Mouth	faith_pd
Gender	1.63895159028334	1	0.0880974754032895	0.767002207277076	0.000560815725819607	0.95	0	0.0249111615712125	2015	Mouth	faith_pd
Residuals	2920.80333172495	157	NA	NA	NA	NA	NA	NA	2015	Mouth	faith_pd
(Intercept)	5146.61214691139	1	321.301860050276	4.52180548004091e-38	NA	NA	NA	NA	2016	Mouth	faith_pd
Age_num	261.181379314697	1	16.3054958463638	8.84124123202636e-05	0.104318122392771	0.95	0.028185669998625	0.20711281055056	2016	Mouth	faith_pd
Age_num:Expo	65.9919532574195	1	4.11986307199862	0.0442769938255377	0.0285863654334756	0.95	0	0.102586110481413	2016	Mouth	faith_pd
Age_num:Gender	4.94105145254889	1	0.30846875128541	0.579507742872805	0.00219850415324687	0.95	0	0.0426094071095693	2016	Mouth	faith_pd
Expo	0.910174050969545	1	0.0568219650516138	0.811939904954177	0.000405706514358812	0.95	0	0.0285403509240167	2016	Mouth	faith_pd
Expo:Gender	9.68357636775045	1	0.604543534675392	0.438161598444252	0.00429960170189167	0.95	0	0.050697088796853	2016	Mouth	faith_pd
Gender	3.3859276458129	1	0.211382715374854	0.646398980280179	0.00150760024814786	0.95	0	0.0389638280161051	2016	Mouth	faith_pd
Residuals	2242.51954363056	140	NA	NA	NA	NA	NA	NA	2016	Mouth	faith_pd
(Intercept)	28.0088802786155	1	3063.379205989	6.62878716919406e-105	NA	NA	NA	NA	2015	Mouth	pielou_e
Age_num	0.0128138035021774	1	1.40146763482612	0.2382672778437	0.00884756723376468	0.95	0	0.0593072098852842	2015	Mouth	pielou_e
Age_num:Expo	0.0145533172401915	1	1.59172123156248	0.208951611122517	0.0100365972397662	0.95	0	0.0621116368113902	2015	Mouth	pielou_e
Age_num:Gender	0.000222464098732056	1	0.0243312794854986	0.876245332733751	0.000154952288522673	0.95	0	0.0195380687122153	2015	Mouth	pielou_e
